question_en,answer_en,question_ne,answer_ne
Do brown cows produce chocolate milk?,No,के खैरो गाईले चकलेट दूध उत्पादन गर्छ?,होइन
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn",दुग्धजन्य गाईका जातहरू सूचीबद्ध गर्नुहुन्छ?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey र Milking Shorthorn"
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds,1 पाउन्ड गाईको मासु उत्पादन गर्न कति पाउन्ड अन्न लाग्छ?,2.5 पाउण्ड
Are beef animals consuming grain that could be used to feed humans?,lifetime ,के गोमांस जनावरहरूले अन्न खान्छन् जुन मानिसहरूलाई खुवाउन प्रयोग गर्न सकिन्छ?,आजीवन
what important role does agriculture play?,feeding the growing population.,कृषिले के महत्त्वपूर्ण भूमिका खेल्छ?,बढ्दो जनसंख्यालाई खुवाउने ।
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f,"यदि बालीको जमिन मानवको लागि खानाको लागि प्रयोग गरियो भने अझ धेरै मानिसहरूलाई खुवाउन सकिन्छ
पशुधन वा पशुधन फिडको सट्टा उपभोग?",प्रयोग गरिएको जग्गा च
what is High fructose corn syrup,is a common sweetener in sodas and drinks,उच्च फ्रुक्टोज मकैको सिरप के हो,सोडा र पेय पदार्थमा एक सामान्य मिठास हो
what median age of farmers in the US,57.5 years,संयुक्त राज्य अमेरिकामा किसानहरूको औसत उमेर के हो,५७.५ वर्ष
what is the importance of agriculture.," It creates jobs, helps our economy and provides our basic necessities",कृषि को महत्व के हो ।,"यसले रोजगारी सिर्जना गर्छ, हाम्रो अर्थतन्त्रलाई मद्दत गर्छ र हाम्रो आधारभूत आवश्यकताहरू प्रदान गर्दछ"
Is agriculture a necessary industry?,Agriculture is a necessity!,के कृषि एक आवश्यक उद्योग हो?,कृषि एक आवश्यकता हो!
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable,के म धेरै पैसा खर्च नगरी स्वस्थ खान सक्छु?,es. संयुक्त राज्य अमेरिकामा खाना धेरै किफायती छ
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France",हाम्रो खाना कहाँबाट आउँछ?,अमेरिकी उपभोक्ताहरूद्वारा किराना पसल र खानपिन खरिदहरू लगायत ८७.३ % खाद्य र पेय पदार्थ खरिदहरू घरेलु उत्पादनबाट भएको थियो । बाँकी १२.७ % चिलीबाट उत्पादन वा फ्रान्सबाट वाइन जस्ता खाद्य र पेय पदार्थहरू आयात गरिएको थियो
what is Food Supply Continuum,The process of getting food from the farm to the table,खाद्य आपूर्ति निरन्तरता भनेको के हो?,फार्मबाट खाना टेबलमा ल्याउने प्रक्रिया
what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest",खाद्य आपूर्ति निरन्तरताका तीन चरणहरू के के हुन्,"पूर्व?बाली, बाली र कटाईपछिको"
"During  Food Supply Continuum, what processes are included inside pre-harvest phase.","the producer or farmer, transportation of the product, and marketing of the product","फूड सप्लाई कन्टिन्युमको समयमा, पूर्व - फसल चरण भित्र के - के प्रक्रियाहरू समावेश छन् ।","उत्पादक वा किसान, उत्पादनको यातायात, र उत्पादनको मार्केटिंग"
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form",फूड सप्लाई कन्टिन्युमको फसल चरणको समयमा के प्रक्रियाहरू समावेश हुन्छन्,"मासु, फलफूल, तरकारी वा खाद्य उत्पादन काट्ने र यसलाई प्रयोगयोग्य रूपमा प्रशोधन गर्ने"
"during the final stage, what activities are done during  Food Supply Continuum","retailing the product, distributing the product through the food service industry and, finally, reaching the consumer","अन्तिम चरणको बखत, खाद्य आपूर्ति निरन्तरताको बखत के गतिविधिहरू गरिन्छ","उत्पादनको खुद्रा बिक्री, खाद्य सेवा उद्योग मार्फत उत्पादन वितरण र, अन्तमा, उपभोक्तासम्म पुग्न"
"Is buying local and organic the same thing?
",No. Local is a definition based on location,के स्थानीय र जैविक खरिद एउटै कुरा हो?,होइन । स्थानीय भनेको स्थानको आधारमा परिभाषित परिभाषा हो
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas,मेरो अण्डाको दफ्तीमा रहेको लेबलको अर्थ के हो?,ओमेगा?३ समृद्ध: ओमेगा बढाउनको लागि अलसी र माछाको तेल जस्ता सामग्रीहरू कुखुराको आहारमा थपिन्छन्?३ सामग्री । अर्गानिक: हेन्स पिंजरेमा छैनन् र USDA को राष्ट्रिय अर्गानिक कार्यक्रम दिशानिर्देशहरू अनुसार हुर्काइन्छ । निःशुल्क?दायरा: हेन्स बाहिरको पहुँचको साथ हुर्काइन्छ । Cage?free: Hens लाई खुला ठाउँमा घुम्न अनुमति छ
What are genetically modified organisms (GMOs)?,GMOs are defined as �organisms in which the genetic material (DNA) has been altered in a way that does not occur naturally.,आनुवंशिक रूपमा परिमार्जित जीवहरू (GMOs) के हुन्?,GMO हरूलाई यस्तो जीवको रूपमा परिभाषित गरिएको छ जसमा आनुवंशिक पदार्थ (DNA) लाई प्राकृतिक रूपमा नआउने तरिकाले परिवर्तन गरिएको छ ।
what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities,प्लान्ट बायोटेक्नोलोजी भनेको के हो,विशेष आवश्यकता वा अवसरहरूको लागि बोटबिरुवाहरू अनुकूलन गर्न प्रयोग गरिने प्रविधिहरूको सेट
"the product of consistent modification by scientists are called?
",GMOs ,वैज्ञानिकहरूद्वारा लगातार परिमार्जनको उत्पादनलाई के भनिन्छ?,GMOs
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!,"ताजा, काँचो तरकारीहरू स्वस्थ र जमेको भन्दा बढी पौष्टिक छन्
तरकारीहरू?",आवश्यक छैन । अनुसन्धानले देखाउँदछ कि जमेका तरकारीहरू ताजा तरकारीहरू भन्दा पनि बढी पौष्टिक हुन सक्छन्!
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process.",जमेका तरकारीहरू ताजा तरकारीहरू भन्दा पनि बढी पौष्टिक हुन सक्ने दुई तरिकाहरू दिनुहोस् ।,"जमेका तरकारीहरू प्रायः ताजा तरकारीहरू भन्दा लामो समयसम्म पकाउन छोडिदिन्छन् । जब तिनीहरू परिपक्व हुन्छन्, तिनीहरू भिटामिन, खनिज र एन्टिअक्सिडेन्टहरूले भरिन्छन् । दोस्रो, तरकारीहरू काट्ने बित्तिकै आफ्नो पौष्टिक मूल्य गुमाउन थाल्छन् । चिसोले यो प्रक्रियालाई सुस्त बनाउँछ ।"
What percentage did vitamin C in fresh broccoli dropped?, 50% within one week,ताजा ब्रोकोलीमा भिटामिन सी कति प्रतिशत घट्यो?,एक हप्ता भित्र 50%
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community.","यदि यसले स्थानीय रूपमा बढेको भन्छ भने, के यसको मतलब यो मेरो समुदायबाट हो?","आवश्यक छैन । यो आश्चर्यको रूपमा आउन सक्छ, तर यदि तपाईं स्थानीय रूपमा उब्जाएको खाना किन्दै हुनुहुन्छ वा खानुहुन्छ भने, यो तपाईंको समुदायमा उब्जाएको खाना नहुन सक्छ ।"
Is global hunger caused by a shortage of food?,"Not necessarily. In many cases, hunger is not caused by a shortage of food",के विश्वव्यापी भोकमरीको कारण खानाको अभाव हो?,"आवश्यक छैन । धेरै अवस्थामा, भोकको कारण खानाको अभाव हुँदैन"
what causes hunger?,poverty,भोकको कारण के हो?,गरिबी
What is gene editing? How is it different from genetic engineering?,Gene editing allows scientists to make changes to a specific target sequence of DNA within a gene. It modifies the gene in a precise and predictable manner,जीन सम्पादन भनेको के हो? यो आनुवंशिक ईन्जिनियरिङ् भन्दा कसरी फरक छ?,जीन सम्पादनले वैज्ञानिकहरूलाई जीन भित्र डीएनए को एक विशिष्ट लक्षित अनुक्रममा परिवर्तन गर्न अनुमति दिन्छ । यसले सटीक र अनुमानित तरिकामा जीनलाई परिमार्जन गर्दछ
"What is the difference between cloning and genetic modification (GM)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful,क्लोनिंग र आनुवंशिक परिमार्जन (GM) बीच के भिन्नता छ?,आनुवंशिक परिमार्जन र क्लोनिंग समान छैनन् । क्लोनिंगले सही प्रतिलिपि प्रदान गर्दछ । क्लोन गरिएका जीनहरू एउटै प्रजातिमा मात्र प्रतिलिपि गर्न सकिन्छ । आनुवंशिक परिमार्जन (आनुवंशिक ईन्जिनियरिङ्) वैज्ञानिकहरूले जीनको एक विशेष सेट छनौट गर्न र यी जीनहरूलाई जीवमा राख्नको लागि केही गर्छन् जहाँ लक्षणहरू उपयोगी हुनेछन्
Can farmers save and replant GMO seeds?,"GMO seeds, like any others, can be saved and replanted",के किसानहरूले GMO बीउहरू बचाउन र पुनः रोप्न सक्छन्?,"GMO बीउहरू, अन्य जस्तै, बचत गर्न र पुन: रोप्न सकिन्छ"
Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes",के आनुवंशिक रूपमा परिमार्जित जीवहरू (GMOs) मात्र जीन भएका जीवहरू हुन्?,"होइन । जीवित वा एक पटक जीवित वस्तुहरूमा जीनहरू हुन्छन्, चाहे तिनीहरू आनुवंशिक रूपमा परिमार्जन गरिएको होस् वा नहोस् । जीनआनुवंशिकीको मूल शब्द हो । जीनहरू गुणसूत्रहरूमा अवस्थित हुन्छन्"
Can eating a genetically modified fruit or vegetable change a person’s genes?,Eating GMO products does not impact our genes. ,के आनुवंशिक रूपमा परिमार्जित फलफूल वा तरकारी खाँदा व्यक्तिको जीन परिवर्तन हुन सक्छ?,GMO उत्पादनहरू खानुले हाम्रो जीनहरूलाई असर गर्दैन ।
What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location",किसानहरूले वातावरणलाई मद्दत गर्न खेतमा कस्तो प्रकारको प्रविधि प्रयोग गर्छन्?,"जीपीएस (ग्लोबल पोजिशनिंग सिस्टम) किसानहरूले प्रयोग गर्ने सामान्य प्रविधि हो । जीपीएसको साथ, किसानहरूले खेतका सबै स्थानहरू ट्र्याक गर्न सक्दछन् र त्यो सही स्थानमा माटोलाई के चाहिन्छ भनेर जान्न सक्छन्"
How is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment. ,कृषिमा प्रविधि कसरी परिवर्तन हुँदैछ?,ट्रयाक्टर प्रविधि परिवर्तन हुँदैछ! अटो स्टीयर र जीपीएस (ग्लोबल पोजिशनिंग सिस्टम) ले खेतीलाई अझ प्रभावकारी बनाउन मद्दत गर्दछ । ट्रयाक्टर प्रविधिले वातावरणलाई पनि मद्दत गरिरहेको छ ।
Is the primary focus of the USDA agricultural programs?,"7% of the total USDA budget. Rural development, research, food safety, marketing and regulatory, and departmental management accounts for 6% of the budget",के USDA कृषि कार्यक्रमहरूको प्राथमिक फोकस हो?,"कुल USDA बजेटको 7% । ग्रामीण विकास, अनुसन्धान, खाद्य सुरक्षा, मार्केटिङ र नियामक, र विभागीय व्यवस्थापनले बजेटको 6% हिस्सा ओगटेको छ"
"what is RFID in full
",Radio frequency identification,आरएफआईडी पूर्ण रूपमा के हो,रेडियो फ्रिक्वेन्सी पहिचान
what is RFID used for?,is a technology that has been used to identify and track livestock animals,rFID को लागि के प्रयोग गरिन्छ?,पशुधन जनावरहरू पहिचान गर्न र ट्रयाक गर्न प्रयोग गरिएको प्रविधि हो
which other field is RFID being used?,hay,आरएफआईडी कुन अन्य क्षेत्र प्रयोग भइरहेको छ?,घाँस
"Does the United States import more agricultural products than we export?
","Agriculture has a positive trade balance, which means we send out (export) more than we bring in (import)",के संयुक्त राज्य अमेरिकाले हामीले निर्यात गरेको भन्दा बढी कृषि उत्पादनहरू आयात गर्दछ?,"कृषिमा सकारात्मक व्यापार सन्तुलन छ, जसको अर्थ हामीले ल्याएको (आयात) भन्दा बढी (निर्यात) पठाउँछौं"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies ",कुन कृषि उत्पादनहरूले 2019 मा निर्यातको लागि लेखाजोखा गरे,"सोयाबीन, गाईको मासु, भाल, सुँगुरको मासु, कुखुराको मासु र ताजा र प्रशोधित फलफूल र तरकारीहरू"
which two countries are the largest trading partners of the U.S,China and Canada,कुन दुई देशहरू अमेरिकाको सबैभन्दा ठूलो व्यापारिक साझेदार हुन्,चीन र क्यानडा
Do agricultural exports help the economy? ,"According to the USDA Economic Research Service, $140.5 billion worth of American agricultural products were exported around the globe in 2017",के कृषि निर्यातले अर्थतन्त्रलाई मद्दत गर्छ?,"यूएसडीए आर्थिक अनुसन्धान सेवा (USDA Economic Research Service) का अनुसार, सन् २०१७ मा विश्वभर १४०.५ अर्ब डलर बराबरको अमेरिकी कृषि उत्पादनहरू निर्यात गरिएको थियो"
Does most of the money I pay for food go back to the farmer?,Not necessarily,के मैले खानाको लागि तिर्ने अधिकांश पैसा किसानलाई फिर्ता जान्छ?,अवश्य छैन। 
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers",के मेरो खानाको मूल्य बढ्छ किनभने किसानहरू बढी पैसा कमाउन चाहन्छन्?,"जब तपाईं किरानाको कथामा मूल्य वृद्धि भएको देख्नुहुन्छ, योतपाईंको स्थानीय किसानहरूको खल्तीमा जान्छ भन्ने नसोच्नुहोस्"
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance",लागतले किसानहरूलाई मूल्य बढाउन नेतृत्व गर्ने इनपुटहरू सूचीबद्ध गर्नुहोस् ।,"जग्गा, उपकरण, मल, रासायनिक, बीउ, भवन र सुविधा, मर्मत, श्रम, इन्धन, ताप, फिड, कर, बीमा"
"If a farm is large, does that mean it is a corporate farm?","Just because a farm is large in number of acres, does not mean it is a corporate farm","यदि फार्म ठूलो छ भने, के यसको मतलब यो कर्पोरेट फार्म हो?","फार्म एकडको संख्यामा ठूलो भएकोले, यो कर्पोरेट फार्म हो भन्ने होइन"
Are we losing family farms because corporate farms are taking over American Agriculture?,America�s farms are still family farms,के हामी पारिवारिक फार्महरू गुमाइरहेका छौं किनभने कर्पोरेट फार्महरूले अमेरिकी कृषिलाई लिइरहेका छन्?,अमेरिकाकोखेतहरूअझै पनि पारिवारिक खेतहरू हुन्
Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security,के कृषि विलासिता हो वा राष्ट्रिय सुरक्षाको विषय हो?,अमेरिकी कृषि राष्ट्रिय सुरक्षाको विषय हो
What is soil science and management.,"Soil science and management is the scientific study of the physical, chemical, and biological properties of soil and the ways in which it can be managed for optimal crop production.",माटो विज्ञान र व्यवस्थापन के हो?,"माटो विज्ञान र व्यवस्थापन माटोको भौतिक, रासायनिक र जैविक गुणहरू र यसलाई इष्टतम बाली उत्पादनको लागि व्यवस्थापन गर्न सकिने तरिकाहरूको वैज्ञानिक अध्ययन हो ।"
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.,कृषिमा यो किन महत्त्वपूर्ण छ?,यो कृषि को एक अनिवार्य पक्ष हो जसले दिगो बाली उत्पादन सुनिश्चित गर्न र वातावरणको संरक्षणमा महत्वपूर्ण भूमिका खेल्छ ।
"What are some of the physical and chemical, properties of soil that soil scientists study?","texture, structure, acidity, and nutrient content.",माटो वैज्ञानिकहरूले अध्ययन गर्ने माटोका केही भौतिक र रासायनिक गुणहरू के हुन्?,"बनावट, संरचना, अम्लता, र पोषक तत्व ।"
What are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.,माटो वैज्ञानिकहरूले अध्ययन गर्ने माटोका केही जैविक गुणहरू के हुन्?,माटोमा बस्ने माइक्रोबियल समुदायहरू र यी जीवहरू र माटोमा हुर्कने बोटबिरुवाहरू बीचको अन्तरक्रिया ।
what is soil?,"Soil is a complex mixture of minerals, organic matter, water, air, and living organisms.",माटो के हो?,"माटो खनिज, जैविक पदार्थ, पानी, हावा र जीवित जीवहरूको जटिल मिश्रण हो ।"
List some of the soil management activites.,"soil testing, fertilization, irrigation, tillage, and crop rotation",माटो व्यवस्थापनका केही गतिविधिहरू सूचीबद्ध गर्नुहोस् ।,"माटो परीक्षण, निषेचन, सिंचाई, जुताई, र बाली परिक्रमा"
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.,माटो व्यवस्थापनको महत्त्व के हो ।,यसले किसानहरूलाई माटोमा पोषक तत्वको कमी वा अधिकता पहिचान गर्न र तदनुसार तिनीहरूको निषेचन अभ्यासहरू समायोजन गर्न मद्दत गर्दछ ।
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield,निषेचन भनेको के हो?,बाली बृद्धि र उत्पादन सुधार गर्न माटोमा पोषक तत्वहरू थप्ने प्रक्रिया
why is fertilizer used in soil management?,to provide the necessary nutrients for optimal crop growth.,माटो व्यवस्थापनमा मल किन प्रयोग गरिन्छ?,इष्टतम बाली बृद्धि को लागी आवश्यक पोषक तत्वहरु प्रदान गर्न ।
name two types fertilizers.,organic and inorganic fertilizers,दुई प्रकारका मलहरूको नाम दिनुहोस् ।,जैविक र अकार्बनिक मलखाद
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.,कुन क्षेत्रमा सिंचाई गरिन्छ ।,कम वर्षा वा अविश्वसनीय पानीको स्रोत भएका क्षेत्रहरू ।
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.,किसानहरूले किन सिंचाई अभ्यास गर्छन् ।,स्वस्थ विकासको लागि बालीले आवश्यक आर्द्रता प्राप्त गरेको सुनिश्चित गर्दै पानीको संरक्षण गर्न ।
what is tillage?,the process of preparing the soil for planting by breaking up the soil and creating a suitable seedbed,जुताई भनेको के हो?,माटो भत्काएर र उपयुक्त बीउ सिर्जना गरेर रोप्नको लागि माटो तयार गर्ने प्रक्रिया
excessive tillage can lead to ?,soil erosion and nutrient loss,अत्यधिक जुताईले निम्त्याउन सक्छ?,माटोको क्षरण र पोषक तत्वको क्षति
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss,किसानहरूले यसको सम्भावित नकारात्मक प्रभावहरूको बिरूद्ध खेतीको फाइदाहरू किन सन्तुलित गर्नुपर्छ,अत्यधिक जुताईले माटोको क्षरण र पोषक तत्वको नोक्सान निम्त्याउन सक्छ
what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility,माटो व्यवस्थापनमा बाली रोटेशन भनेको के हो?,माटोबाट हुने रोगहरू र कीटहरू कम गर्न र माटोको उर्वरता सुधार गर्न माटो व्यवस्थापनमा प्रयोग गरिने प्रविधि
why is crop rotation important?, help to maintain soil health and improve crop yields over time,फसल परिक्रमा किन महत्त्वपूर्ण छ?,माटोको स्वास्थ्य कायम राख्न र समयसँगै बाली उत्पादन सुधार गर्न मद्दत गर्दछ
what is final stage in crop cultivation,Harvesting,बाली खेतीको अन्तिम चरण के हो,हार्भेस्टिङ
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport,कटाई भनेको के हो,यसमा खेतबाट परिपक्व बालीहरू हटाउनु र तिनीहरूलाई भण्डारण वा यातायातको लागि तयार गर्नु समावेश छ
which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Planting ,बाली खेतीको कुन चरणमा सही गहिराई र अन्तरालमा माटोमा बीउ वा रोपेको समावेश हुन्छ ।,बिरूवाहरू रोप्ने
name one crop planted by using a seed drill.,corn,बीउ ड्रिल प्रयोग गरेर रोपिएको एउटा बालीको नाम दिनुहोस् ।,मकै
why do crops require regular maintainance after planting,to ensure healthy growth and yield,किन बालीलाई रोपिसकेपछि नियमित मर्मत आवश्यक छ,स्वस्थ वृद्धि र उत्पादन सुनिश्चित गर्न
name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation.",बाली मर्मतका गतिविधिहरूको नाम दिनुहोस् ।,"खरबुजा र कीट नियन्त्रण, निषेचन, र सिंचाई ।"
name the first step in crop cultivation,Land preparation,बाली खेतीको पहिलो चरणको नाम,जग्गाको तयारी
what are cover crops,are plants that are planted to cover the soil rather than for the purpose of being harvested,कभर क्रपहरू के हुन्,काट्ने प्रयोजनको लागि नभई माटो ढाक्न रोपिएका बिरुवाहरू हुन्
What is crop cultivation?," is the practice of growing crops for food, fiber, or fuel",बाली खेती भनेको के हो?,"खाना, फाइबर, वा इन्धनको लागि बाली उब्जाउने अभ्यास हो"
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. ,बोटबिरुवा पोषण भनेको के हो?,विकास र विकासको लागि आवश्यक पोषक तत्वहरू बोटबिरुवाहरूले प्राप्त गर्ने र प्रयोग गर्ने प्रक्रियालाई जनाउँछ ।
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,",म्याक्रोन्यूट्रिएन्टको उदाहरण दिनुहोस्?,"नाइट्रोजन, फस्फोरस, र पोटासियम,"
give examples of micronutrients.," iron, zinc, and manganese.",सूक्ष्म पोषक तत्वहरूको उदाहरण दिनुहोस् ।,"आइरन, जिंक, र मैंगनीज ।"
which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium",कसावामा उच्च उत्पादनको लागि कुन पोषक तत्वहरू आवश्यक छन् ।,"नाइट्रोजन, फस्फोरस, र पोटासियम"
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications.",विभिन्न फारमहरूको नाम दिनुहोस् जसमा मलखादहरू लागू गर्न सकिन्छ?,"दानेदार, तरल, र पर्णीय अनुप्रयोगहरू ।"
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation.",केही सामान्य पानी व्यवस्थापन अभ्यासहरूको नाम दिनुहोस्,"माटोको चिस्यान अनुगमन, बाली पानी आवश्यकताहरूको अनुमान, बाली चयन, र बाली रोटेशन ।"
what are some of the water conservation practices being done.,"reducing evaporation loss, controlling water runoff, and maintaining proper soil moisture levels",जल संरक्षणका केही अभ्यासहरू के भइरहेको छ ।,"वाष्पीकरण नोक्सान कम गर्ने, पानीको बहाव नियन्त्रण गर्ने, र उचित माटोको ओसिलो स्तर कायम राख्ने"
how can i differentiate sprinkler irrigation from drip irrigation.,"Sprinkler irrigation involves spraying water over the field, while drip irrigation involves applying water directly to the root zone of the crop through a system of pipes and emitters",म कसरी ड्रिप सिंचाईबाट स्प्रिंकलर सिंचाईलाई फरक पार्न सक्छु ।,"स्प्रिंकलर सिंचाईमा खेतमा पानी छर्किनु समावेश छ, जबकि ड्रिप सिंचाईमा पाइप र उत्सर्जकहरूको प्रणाली मार्फत बालीको जरा क्षेत्रमा सिधै पानी लगाउनु समावेश छ"
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets,माछा फार्म भनेको के हो,माछा फार्महरू रेस्टुरेन्ट र सुपरमार्केटमा बिक्रीको लागि सीमित संख्यामा माछा उत्पादन गर्ने व्यवसायहरू हुन्
Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage",बाली खेतीको क्रममा गरिएका विभिन्न गतिविधिहरूको नाम बताउनुहोस् ।,"जग्गाको तयारी, रोपण, खरबुजा र कीट नियन्त्रण, निषेचन, सिंचाई, कटाई, र भण्डारण"
why is crop cultivation a critical aspect of agriculture., plays a vital role in providing food security for the world's growing population.,किन बाली खेती कृषि को एक महत्वपूर्ण पक्ष हो ।,विश्वको बढ्दो जनसंख्याको लागि खाद्य सुरक्षा प्रदान गर्न महत्वपूर्ण भूमिका खेल्छ ।
name regions where irrigation is applicable.,regions with low rainfall or unreliable water sources,सिंचाई लागू हुने क्षेत्रहरूको नाम दिनुहोस् ।,कम वर्षा वा अविश्वसनीय पानीको स्रोत भएका क्षेत्रहरू
what is  irrigation.,the application of water to crops to supplement natural rainfall and ensure healthy plant growth,सिंचाई भनेको के हो ।,प्राकृतिक वर्षालाई पूरक बनाउन र स्वस्थ बोटबिरुवाको विकास सुनिश्चित गर्न बालीमा पानीको प्रयोग
name activities done during water management.,"irrigation scheduling, water storage, and distribution systems",पानी व्यवस्थापनको क्रममा गरिएका गतिविधिहरूको नाम दिनुहोस् ।,"सिंचाई तालिका, पानी भण्डारण, र वितरण प्रणाली"
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences.",खराब सिंचाईले निम्त्याउँछ?,"पानी जम्ने, माटोको लवणिकरण, र अन्य नकारात्मक वातावरणीय परिणामहरू ।"
name the types of irrigation.,"flood, furrow, drip, and sprinkler irrigation",सिंचाईका प्रकारहरूको नाम दिनुहोस् ।,"बाढी, फुर्रो, ड्रिप, र स्प्रिंकलर सिंचाई"
The primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios",प्राथमिक म्याक्रोन्यूट्रिएन्टहरू के हुन्?,"नाइट्रोजन (N), फस्फोरस (P), र पोटासियम (K), जुन सामान्यतया NPK अनुपातको रूपमा मलमा उपस्थित हुन्छन्"
which nutrient is essential for the production of chlorophyll.,Nitrogen ,क्लोरोफिलको उत्पादनको लागि कुन पोषक तत्व आवश्यक छ ।,नाइट्रोजन 
what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.,क्लोरोफिलको महत्त्व के हो?,प्रकाश संश्लेषण र बोटबिरुवाको विकासको लागि आवश्यक छ ।
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus ,"जराको विकास, फूल फुल्ने र फलफूलको लागि कुन पोषक तत्व महत्त्वपूर्ण छ ।",फसफोरस
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",potassium ,"पानी नियमन, रोग प्रतिरोध, र बोटबिरुवाहरूमा तनाव सहनशीलताका लागि म कुन पोषक तत्वहरू प्रयोग गर्न सक्छु ।",पोटासियम
what are organic fertilizers?," are derived from natural sources such as animal manure, compost, and plant residues",अर्गानिक मलखाद के हो?,"प्राकृतिक स्रोतहरू जस्तै जनावरको मल, कम्पोस्ट, र बोटबिरुवाको अवशेषहरूबाट व्युत्पन्न हुन्छन्"
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield.",नाइट्रोजनको कमीले के निम्त्याउँछ?,"अवरुद्ध वृद्धि, पहेंलो पात, र कम उत्पादन ।"
The deficiency of phosphorus results into?,"poor root development, slow growth, and reduced flowering and fruiting",फस्फोरसको कमीको परिणाम के हुन्छ?,"कमजोर जराको विकास, ढिलो वृद्धि, र कम फूल र फलफूल"
